1	0.008	0.0012	0.0029
1001	5.0092	2.4839	4.6533
2001	4.7027	2.4419	4.4694
3001	3.7332	2.0904	3.6939
4001	3.9094	2.2796	3.8617
5001	4.0392	2.395	3.995
6001	4.6381	2.7344	4.7872
7001	5.3126	3.1406	5.7293
8001	6.2718	3.8835	6.6668
9001	3.8986	2.4211	4.0683
10001	3.9719	2.4757	4.0461
11001	5.2059	3.2376	5.4278
12001	4.2386	2.648	4.3327
13001	5.5753	3.6769	5.7457
14001	4.4269	2.8816	4.5853
15001	5.7635	3.6748	6.1501
16001	3.9834	2.6838	4.2796
17001	4.7833	3.0764	5.1323
18001	3.792	2.5635	4.1195
19001	3.8678	2.6659	4.0748
20001	3.6842	2.5209	4.1962
21001	3.8929	2.5241	4.1562
22001	4.9445	3.3069	5.6032
23001	4.153	2.8419	4.6564
24001	5.0539	3.5041	5.5659
25001	5.0619	3.4771	5.5318
26001	5.2616	3.6077	6.12199
27001	3.807	2.6625	4.3051
28001	3.7103	2.5819	4.1975
29001	3.8894	2.7415	4.3645
30001	3.8404	2.7413	4.4886
31001	3.7313	2.8188	4.4356
32001	5.9093	4.1036	6.9988
33001	4.9157	3.4886	5.7117
34001	4.2085	2.9783	4.8514
35001	5.1393	3.6101	5.8943
36001	5.1116	3.6594	6.0681
37001	4.9621	3.6017	5.8958
38001	4.027	2.8552	4.5332
39001	3.6874	2.6333	4.4939
40001	3.7725	2.695	4.3696
41001	3.7013	2.7732	4.3512
42001	3.7569	2.8383	4.4857
43001	3.7285	2.7353	4.336
44001	4.5818	3.46	5.5689
45001	3.8675	2.8678	4.5827
46001	4.2588	3.1827	5.2288
47001	4.5002	3.2789	5.3075
48001	5.0019	3.6716	6.388
49001	4.4613	3.267	5.58539
50001	3.5214	2.6484	4.2552
51001	3.82	2.7815	4.4582
52001	3.6342	2.732	4.3307
53001	3.7247	2.783	4.4502
54001	6.3571	4.5556	7.9508
55001	6.8999	4.9297	8.4224
56001	4.2119	3.16721	5.1263
57001	3.7082	2.8219	4.4418
58001	3.8121	2.9626	4.5977
59001	4.1581	3.0171	5.0711
60001	3.5022	2.6494	4.3824
61001	3.8653	2.9762	4.7192
62001	3.832	2.9275	4.7043
63001	5.9164	4.3959	7.35479
64001	4.1769	3.1792	5.1289
65001	5.5956	4.1017	7.1259
66001	3.8706	3.0606	4.845
67001	3.6756	2.8358	4.474
68001	3.7728	3.0191	4.6603
69001	3.6745	2.8666	4.5378
70001	3.5102	2.6964	4.3383
71001	3.548	2.7594	4.3626
72001	3.6339	2.8111	4.46
73001	3.504	2.7442	4.3601
74001	3.6279	2.8355	4.5222
75001	3.5397	2.8871	4.5126
76001	4.6259	3.5956	5.8313
77001	5.3994	4.2402	6.8551
78001	3.9536	3.0668	4.8931
79001	3.6368	2.8606	4.4649
80001	3.7993	2.9692	4.7925
81001	4.8709	3.6899	5.9083
82001	4.0571	3.1542	5.0843
83001	3.4332	2.7055	4.4158
84001	3.3914	2.8801	4.3194
85001	3.5935	2.9411	4.6345
86001	5.7295	4.4789	7.4055
87001	3.6995	2.9317	4.5604
88001	4.4292	3.5539	5.8692
89001	3.9885	3.3164	4.869
90001	4.4895	3.5923	5.6114
91001	5.7503	4.9727	7.6951
92001	5.76	4.5992	7.5717
93001	4.4154	3.5159	5.7746
94001	3.4135	2.7375	4.3652
95001	4.0206	3.1491	5.2053
96001	3.5951	2.8223	4.4461
97001	3.4801	2.801	4.4099
98001	3.6442	2.9003	4.5382
99001	3.9416	3.0331	4.8053
100001	4.4584	3.4779	5.5379
101001	4.2311	3.4334	5.2507
102001	4.7738	3.7884	6.112
103001	4.26	3.3643	5.4276
104001	3.5702	2.8774	4.4907
105001	3.5544	2.8862	4.4642
106001	3.6052	2.8612	4.5279
107001	3.6424	2.8955	4.5934
108001	3.3889	2.7431	4.3755
109001	3.5375	2.8978	4.5373
110001	3.4615	2.7377	4.3688
111001	3.5982	2.8008	4.5972
112001	4.0256	3.1908	5.2107
113001	5.4603	4.2659	7.1794
114001	3.7627	2.9656	4.6819
115001	3.568	2.9229	4.4996
116001	4.2943	3.3858	5.4744
117001	5.7532	4.4763	7.8118
118001	3.3235	2.64	4.3433
119001	3.2915	2.623	4.3412
120001	3.3629	2.6482	4.3851
121001	5.0839	3.9819	6.9302
122001	5.5657	4.265	7.4562
123001	4.0964	3.2473	5.5569
124001	3.7303	2.86	4.6731
125001	4.5084	3.521	6.10411
126001	3.8036	3.026	4.6048
127001	4.1475	3.2657	5.5079
128001	3.8647	3.0809	4.9699
129001	3.3791	2.8183	4.625
130001	3.4499	2.6959	4.486
131001	3.4423	2.7508	4.5341
132001	3.6652	2.9124	4.639
133001	3.7322	3.122	4.754
134001	3.6694	2.9895	4.6423
135001	5.0759	4.1235	6.663
136001	6.2313	4.8356	8.3239
137001	5.0924	4.1415	7.03
138001	4.9408	3.9262	6.44701
139001	5.11	3.9931	6.5386
140001	4.0552	3.3382	5.5424
141001	3.6181	2.9476	4.5798
142001	5.0394	4.0142	6.7871
143001	4.8177	3.8194	6.2999
144001	3.8216	3.0824	4.9257
145001	3.6819	2.9479	4.7733
146001	3.5846	2.9066	4.5694
147001	4.7128	3.7922	6.4359
148001	3.3235	2.6751	4.3316
149001	3.3012	2.6602	4.3329
150001	3.2311	2.5918	4.25
151001	3.3938	2.7423	4.4365
152001	4.3645	3.446	5.7425
153001	3.4525	2.7784	4.4761
154001	4.5947	3.4648	5.7684
155001	5.0165	3.9486	6.6497
156001	3.8107	2.9896	5.0287
157001	3.3858	2.7158	4.4538
158001	3.1984	2.553	4.269
159001	3.5112	2.8149	4.7007
160001	3.3605	2.7364	4.4998
161001	3.2947	2.6681	4.3432
162001	3.3968	2.7265	4.3137
163001	3.4575	2.808	4.3641
164001	3.6062	2.8397	4.7231
165001	3.4868	2.6798	4.5981
166001	3.6101	2.7778	4.6564
167001	3.4757	2.6678	4.6861
168001	3.4938	2.7412	4.4731
169001	3.661	2.9807	4.9466
170001	3.4474	2.8333	4.5717
171001	4.6146	3.6053	6.0181
172001	3.6649	2.9161	4.7022
173001	3.3721	2.7576	4.4889
174001	3.8681	3.0573	4.9998
175001	3.807	3.058	4.6538
176001	3.7069	3.0207	4.7828
177001	3.865	3.0012	4.8137
178001	3.2958	2.7621	4.3757
179001	3.5167	2.8052	4.6396
