1	0.0026	0.0043	0.0006	0.0013	0.001	0.0034
1001	0.7241	4.7739	0.238299	2.4979	0.5697	4.5579
2001	0.848898	5.4211	0.231099	2.9435	0.604098	4.9255
3001	0.744903	5.5328	0.243199	3.2244	0.607803	5.6678
4001	0.722399	4.8759	0.234799	2.9198	0.527698	4.9302
5001	0.992603	4.9958	0.223099	3.0531	0.540298	5.1313
6001	0.64	5.812	0.2407	3.5377	0.583603	5.8782
7001	0.532499	4.8234	0.219898	3.0586	0.495497	5.0078
8001	0.521699	4.6966	0.203998	2.9605	0.447096	4.7361
9001	0.558299	4.2981	0.208998	2.7204	0.482397	4.6257
10001	0.638102	4.3257	0.198498	2.7589	0.420097	4.6336
11001	0.5758	4.4903	0.205499	2.9275	0.434998	4.8533
12001	0.555201	5.0502	0.220198	3.2627	0.506696	5.4126
13001	0.490499	4.4772	0.202198	2.9789	0.432097	4.7927
14001	0.563399	4.3663	0.198898	2.8547	0.432797	4.7426
15001	0.591401	4.4203	0.201098	2.9188	0.429797	4.7958
16001	0.5331	4.789	0.223399	3.1147	0.480798	5.2193
17001	0.510399	4.5811	0.205299	3.0298	0.439497	4.9809
18001	0.809101	6.1327	0.271001	4.0824	0.685103	6.865
19001	0.606202	4.5198	0.205298	2.9999	0.443297	4.9536
20001	0.5292	4.5891	0.202499	3.0767	0.488297	5.0207
21001	0.475299	4.3374	0.200798	2.8735	0.411197	4.8016
22001	0.594801	4.4234	0.202098	2.9684	0.430097	4.934
23001	0.5077	4.4741	0.199698	2.9987	0.434997	4.8958
24001	0.477899	4.2901	0.199098	2.9249	0.426697	4.9144
25001	0.5515	4.4009	0.198798	2.9174	0.423797	4.8733
26001	0.592401	4.4656	0.203898	3.1349	0.461098	5.0047
27001	0.5291	4.76929	0.210499	3.2508	0.487198	5.2671
28001	0.589401	5.085	0.221998	3.4838	0.525798	5.6017
29001	0.569199	4.6654	0.208599	3.2329	0.477898	5.2291
30001	0.584999	4.6517	0.207999	3.1807	0.456897	5.17171
31001	0.5069	4.4738	0.199798	3.0027	0.423397	5.0124
32001	0.514299	4.4358	0.202499	3.1241	0.507197	5.102
33001	0.5626	4.8925	0.219098	3.3044	0.547098	5.5105
34001	0.5362	4.52	0.205799	3.1281	0.458498	5.0966
35001	0.538	4.9362	0.230798	3.401	0.505297	5.54781
36001	0.546001	4.6389	0.208399	3.1919	0.468398	5.177
37001	0.5163	4.461	0.205198	3.1363	0.459798	5.1056
38001	0.5283	4.5244	0.203099	3.1139	0.441297	5.0405
39001	0.5062	4.2808	0.200398	3.0086	0.423497	4.951
40001	0.554499	4.2542	0.199698	2.9819	0.417097	4.9151
41001	0.626502	4.5424	0.205999	3.1685	0.466798	5.1945
42001	0.482399	4.336	0.201498	3.0487	0.429297	5.0051
43001	0.588801	4.9453	0.214999	3.4004	0.512198	5.5042
44001	0.5537	4.6371	0.207398	3.2767	0.482798	5.2526
45001	0.5451	4.736	0.209999	3.327	0.491098	5.2544
46001	0.5229	4.3488	0.200198	3.0298	0.431298	5.0042
47001	0.5938	4.7231	0.210499	3.2708	0.477498	5.3553
48001	0.725299	6.0341	0.2609	4.0794	0.712004	7.16189
49001	0.6273	5.6386	0.238599	3.866	0.615501	6.53
50001	0.648502	4.8206	0.211298	3.3743	0.499198	5.3694
51001	0.730501	6.4776	0.264801	4.5263	0.7244	7.2383
52001	0.687202	5.2415	0.2859	3.7211	0.5786	5.9249
53001	0.5416	4.508	0.208499	3.2071	0.465798	5.194
54001	0.690401	5.6623	0.2755	3.9309	0.651402	6.425
55001	0.5588	4.5296	0.205399	3.1482	0.460697	5.1592
56001	0.490199	4.3513	0.199698	3.0381	0.422197	4.985
57001	0.593603	4.2644	0.205998	2.9944	0.427597	4.91779
58001	0.495599	4.4352	0.203099	3.1403	0.434397	5.0853
59001	0.720103	5.3813	0.247799	3.8025	0.538399	6.2665
60001	0.5467	4.9585	0.219599	3.5038	0.498799	5.6757
61001	0.636601	4.7405	0.210499	3.3655	0.501198	5.33211
62001	0.5202	4.4317	0.205698	3.1298	0.439297	5.0575
63001	0.6132	4.5544	0.207899	3.2307	0.469598	5.2199
64001	0.5432	4.5325	0.206998	3.1734	0.461598	5.13839
65001	0.521299	4.5793	0.207198	3.2155	0.455197	5.19761
66001	0.551201	4.3505	0.200198	3.0951	0.447198	5.0253
67001	0.548099	4.2678	0.199698	3.0221	0.415897	4.9393
68001	0.611302	4.3647	0.201098	3.0606	0.440798	5.0042
69001	0.486499	4.3483	0.200698	3.0701	0.440097	4.9794
70001	0.533201	4.3826	0.201198	3.02	0.427797	4.9767
